Author,Journal,Year,Site country,Location,Latitude,Longitude,Soil information recorded in the paper,pH (surface layer),Replications in experiment,Crop,Initial year of NT practice ( or first year of experiment if missing),Sowing year,Harvest year,Years since NT started (yrs),Crop growing season recorded in the paper,Crop rotation with at least 3 crops involved in CT,Crop rotation with at least 3 crops involved in NT,Crop sequence (details),Cover crop before sowing,Soil cover in CT,Soil cover in NT,Residue management of previous crop in CT  (details),Residue management of previous crop in NT (details),Weed and pest control CT,Weed and pest control NT ,Weed and pest control CT (details),Weed and pest control NT  (details),Fertilization CT ,Fertilization NT,N input,N input rates with the unit kg N ha-1 (details),Field fertilization (details),Irrigation CT,Irrigation NT,Water applied in CT,Water applied in NT,Other information,Yield of CT,Yield of NT,Relative yield change,Yield increase with NT,Outlier of CT,Outlier of NT,Sowing month,Harvesting month,P,E,PB,Tave,Tmax,Tmin,ST
Aase  et al.,Soil & Tillage Research ,1997,USA,"Montana, Froid",48.28,-105.1,sandy loam, ,3,wheat.winter,1990,1992,1992,3,,No,No,continuous,,,,,,Yes,Yes,Herbicide,Herbicide,Yes,Yes,Yes,,"224 kg ha-1 (NH4)2HPO3 in 1991, 1992 & 34 kg ha-1 NH4NO3 in 1993, 1994",,,,,"Plots were 12x30 m oriented the long way east to west on a ca. 2% north-facing slope. 2-2.5 million seeds per hectare. In 1992, it was necessary to use a tandem disk harrow before using sweeps. No-till treatment received a tank mix of 2.5-l glyphosate and 1.25-l 2,4-D each year prior to seeding. When deemed necessary, post-harvest weed control was done on all three sod conversion treatments using a mix of glyphosate and 2,4-D. Two post-harvest weed control operations took place on each treatment in 1991, one in 1994 and none in 1992 and 1993.  All plots were fertilized with 224 kg ha-1 of (NH4)2HPO4 (18-46-O) in 1991 and 1992. In 1993 and 1994, we applied 34 kg ha-’ of nitrogen as NH4NO3 (34-O-O) to all plots. Weeds in the growing grain crop of all treatments were controlled as needed with a mix of bromoxynil (3,5-dibromo-4-hy-droxybenzonitrile) and 2,4-D, except in 1994 when we used a mix of fenoxaprop-P-ethyl {(R)-2-[4-(6-chloro-1,3-b enzoxazol-2-yloxy) phenoxy] propionic acid} and bromoxynil. One set of grass plots was unfertilized, the second set received 224 kg ha-1 of 18-46-o fertilizer in 1991 and 1992, and 34 kg ha-1 of nitrogen as 34-O-O in 1993 and 1994.  ",2567,2694,0.0495,Yes,,,9,8,395.8,534.828,-139.028,5.03333,24.7986,-20.09568,Loam
Aase  et al.,Soil & Tillage Research ,1997,USA,"Montana, Froid",48.28,-105.1,sandy loam, ,3,wheat.winter,1990,1993,1993,4,,No,No,continuous,,,,,,Yes,Yes,Herbicide,Herbicide,Yes,Yes,Yes,,"224 kg ha-1 (NH4)2HPO3 in 1991, 1992 & 34 kg ha-1 NH4NO3 in 1993, 1994",,,,,"Plots were 12x30 m oriented the long way east to west on a ca. 2% north-facing slope. 2-2.5 million seeds per hectare. In 1992, it was necessary to use a tandem disk harrow before using sweeps. No-till treatment received a tank mix of 2.5-l glyphosate and 1.25-l 2,4-D each year prior to seeding. When deemed necessary, post-harvest weed control was done on all three sod conversion treatments using a mix of glyphosate and 2,4-D. Two post-harvest weed control operations took place on each treatment in 1991, one in 1994 and none in 1992 and 1993.  All plots were fertilized with 224 kg ha-1 of (NH4)2HPO4 (18-46-O) in 1991 and 1992. In 1993 and 1994, we applied 34 kg ha-’ of nitrogen as NH4NO3 (34-O-O) to all plots. Weeds in the growing grain crop of all treatments were controlled as needed with a mix of bromoxynil (3,5-dibromo-4-hy-droxybenzonitrile) and 2,4-D, except in 1994 when we used a mix of fenoxaprop-P-ethyl {(R)-2-[4-(6-chloro-1,3-b enzoxazol-2-yloxy) phenoxy] propionic acid} and bromoxynil. One set of grass plots was unfertilized, the second set received 224 kg ha-1 of 18-46-o fertilizer in 1991 and 1992, and 34 kg ha-1 of nitrogen as 34-O-O in 1993 and 1994.  ",2405,2439,0.0141,Yes,,,9,8,260.3,590.273,-329.973,5.79167,29.19186,-21.60286,Loam
Aase  et al.,Soil & Tillage Research ,1997,USA,"Montana, Froid",48.28,-105.1,sandy loam, ,3,wheat.winter,1990,1994,1994,5,,No,No,continuous,,,,,,Yes,Yes,Herbicide,Herbicide,Yes,Yes,Yes,,"224 kg ha-1 (NH4)2HPO3 in 1991, 1992 & 34 kg ha-1 NH4NO3 in 1993, 1994",,,,,"Plots were 12x30 m oriented the long way east to west on a ca. 2% north-facing slope. 2-2.5 million seeds per hectare. In 1992, it was necessary to use a tandem disk harrow before using sweeps. No-till treatment received a tank mix of 2.5-l glyphosate and 1.25-l 2,4-D each year prior to seeding. When deemed necessary, post-harvest weed control was done on all three sod conversion treatments using a mix of glyphosate and 2,4-D. Two post-harvest weed control operations took place on each treatment in 1991, one in 1994 and none in 1992 and 1993.  All plots were fertilized with 224 kg ha-1 of (NH4)2HPO4 (18-46-O) in 1991 and 1992. In 1993 and 1994, we applied 34 kg ha-’ of nitrogen as NH4NO3 (34-O-O) to all plots. Weeds in the growing grain crop of all treatments were controlled as needed with a mix of bromoxynil (3,5-dibromo-4-hy-droxybenzonitrile) and 2,4-D, except in 1994 when we used a mix of fenoxaprop-P-ethyl {(R)-2-[4-(6-chloro-1,3-b enzoxazol-2-yloxy) phenoxy] propionic acid} and bromoxynil. One set of grass plots was unfertilized, the second set received 224 kg ha1 of 18-46-o fertilizer in 1991 and 1992, and 34 kg ha-1 of nitrogen as 34-O-O in 1993 and 1994.  ",2439,2788,0.1431,Yes,,,9,8,397.3,555.26,-157.96,6.86667,29.48728,-16.19572,Loam
Acharya,Soil & Tillage Research,2019,USA,"Bossier City, Louisiana",32.42,-93.64,sandy loam,6.6,3,soybean,2014,2016,2016,3,4 to 10,Yes,Yes,"Progeny wheat - BWI hairy vetch as cover crops, then soybean",Yes,No,Yes,incorporated,cover crop residue retained,Yes,Yes,Paraquat used to terminate cover crops,Paraquat used to terminate cover crops,Yes,Yes,Yes,63.4 for CT 56.5 for NT,cover crops' residue,,,,,"The soil of the experimental site is classified as Caplis very fine sandy loam (coarse-silty over clayey, mixed over smectitic, superactive, calcareous, thermic Oxyaquic Udifluvents) with an average slope of<1%. The split-plot, randomized complete block experiment was established in winter 2015. The study included three replicates of two tillage treatments, no-till (NT) (since 2014) and conventional till (CT), as main plots, with CC sub-plots of wheat (Triticum aestivum), hairy vetch (Vicia villosa) and control with native vegetation. Each sub-plot was 6.1 by 137 m. Progeny wheat (90 kg ha−1 pure live seed; PLS) and BWI hairy vetch (30 kg ha−1 PLS) were planted at a row spacing of 20 cm using a seed drill on Nov 14, Nov 15, and Oct 27 in 2015, 2016 and 2017, respectively. The CCs were not fertilized or irrigated, and weeds, pests or diseases were not controlled. Cover crops were terminated by spraying with paraquat on Mar18, Mar 31, and Mar 12 in 2016, 2017 and 2018, respectively. Soybean varieties NK-BY1212083, CZ4818 LL, and HBK 4953 L L were planted on a 1.02m row spacing at 296,526 seeds ha−1 on Apr 25, Apr 28 and May 15 and harvested on Oct 10, Sept 27, and Oct 6 in 2016, 2017 and 2018, respectively. Each soybean plot was 6 rows wide by 137m long. Lower N accumulation under NT, especially in 2017, could be due to lower soil temperatures and the denser plow layer under surface residue, which may have led to decreased activity of rhizobium bacteria and constricted development of root nodules.  Thus, vetch potentially added 240 and 167 kg N ha−1 to CT and NT soil, respectively, in 2016, but only 63.4 and 56.5 kg N ha−1, respectively, in 2017. The CC biomass also accumulated higher amounts of P, S, and Fe under CT than NT. ",3005,2943,-0.0206,No,,,6,10,511.9000053,546.6868881,-34.787,26.15999985,35.3316296,14.98488395,Loam
Acharya,Soil & Tillage Research,2019,USA,"Bossier City, Louisiana",32.42,-93.64,sandy loam,6.6,3,soybean,2014,2017,2017,4,5 to 9,Yes,Yes,"Progeny wheat - BWI hairy vetch as cover crops, then soybean",Yes,No,Yes,incorporated,cover crop residue retained,Yes,Yes,Paraquat used to terminate cover crops,Paraquat used to terminate cover crops,Yes,Yes,Yes,240 for CT 167 for NT,cover crops' residue,,,,,"The soil of the experimental site is classified as Caplis very fine sandy loam (coarse-silty over clayey, mixed over smectitic, superactive, calcareous, thermic Oxyaquic Udifluvents) with an average slope of<1%. The split-plot, randomized complete block experiment was established in winter 2015. The study included three replicates of two tillage treatments, no-till (NT) (since 2014) and conventional till (CT), as main plots, with CC sub-plots of wheat (Triticum aestivum), hairy vetch (Vicia villosa) and control with native vegetation. Each sub-plot was 6.1 by 137 m. Progeny wheat (90 kg ha−1 pure live seed; PLS) and BWI hairy vetch (30 kg ha−1 PLS) were planted at a row spacing of 20 cm using a seed drill on Nov 14, Nov 15, and Oct 27 in 2015, 2016 and 2017, respectively. The CCs were not fertilized or irrigated, and weeds, pests or diseases were not controlled. Cover crops were terminated by spraying with paraquat on Mar18, Mar 31, and Mar 12 in 2016, 2017 and 2018, respectively. Soybean varieties NK-BY1212083, CZ4818 LL, and HBK 4953 L L were planted on a 1.02m row spacing at 296,526 seeds ha−1 on Apr 25, Apr 28 and May 15 and harvested on Oct 10, Sept 27, and Oct 6 in 2016, 2017 and 2018, respectively. Each soybean plot was 6 rows wide by 137m long. Lower N accumulation under NT, especially in 2017, could be due to lower soil temperatures and the denser plow layer under surface residue, which may have led to decreased activity of rhizobium bacteria and constricted development of root nodules.  Thus, vetch potentially added 240 and 167 kg N ha−1 to CT and NT soil, respectively, in 2016, but only 63.4 and 56.5 kg N ha−1, respectively, in 2017. The CC biomass also accumulated higher amounts of P, S, and Fe under CT than NT. ",3062,2670,-0.128,No,,,6,10,475.0999966,511.4026107,-36.303,24.96000023,34.27268933,13.00351149,Loam
Adimassu,Agricultural Systems,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,3,wheat.winter,2009,2009,2009,1,,No,No,continuous,,No,No,no crop residue,no crop residue,Yes,Yes,Hand weeding,Herbicide,Yes,Yes,Yes,,P2O5 and N,,,,,"The study site is located within the Ethiopian highlands, in the Awash River Basin, 33 km West of Addis Ababa, plot size 9x6m. A field experiment was conducted for 3 consecutive years (2009–2011) at the experimental farm of the Holeta Agricultural Research Centre (HARC) located at 09004′N and 38029′E at an elevation of 2400m above sea level. The study area receives high annual rainfall with a long-term annual average (1969 to 2014) of 1050mm per year. The rainfall has bimodal distribution that occurs in Kiremit (main rain) and Belg (minor rain) seasons. In general,>75% of the annual rainfall occurs in the main rain season (June to September) particularly in July and August. The experiment was conducted in clay texture soil with 58% clay content. The bulk density of the soil was 1.12 g cm−3. The water content of the first 30 cm depth of the soil at field capacity (0.33 bar) and permanent wilting point (15 bar) were 32% and 24%, respectively. The plot size used for this experiment was a runoff plot of 9m length and 6m width.  The study area is crop-livestock farming system, where both livestock and crops are important agricultural practices. Cattle are important in the agricultural production system as they provide draught and threshing power, and manure to improve soil fertility and provide cow-dung for fuel. Crop residues are used as fodder and a source of domestic fuel. Wheat (Triticum astivum L.), teff (Eragrostis tef Zucc.), faba bean (Vicia fava L.) and field pea (Pisum sativum L.) are common crops grown in the study area.   The seeding rate of wheat (variety Kubsa) was 175 kg ha−1 for broadcasting. The recommended fertilizer rates applied for all treatments were 69 P2O5 and 60 N per hectare. In zero and minimum tillage treatments, glyphosate herbicide was applied to control weeds. However, hand weeding was used to control weeds in conventional tillage treatments. Treatments /Description T0C0: Zero tillage (land was not disturbed) without crop residue; T0C1: Zero tillage with 1 t ha−1 yr−1 crop residue; T0C2: Zero tillage with 2 t ha−1 yr−1 crop residue; T1C0: Minimum tillage without crop residue; T1C1: Minimum tillage with 1 t ha−1 yr−1 crop residue; T1C2: Minimum tillage with 2 t ha−1 yr−1 crop residue; T2C0 :Control treatment (Conventional tillage without crop residue); T2C1: Conventional tillage with 1 t ha−1 yr−1 crop residue; T2C2: Conventional tillage with 2 t ha−1 yr−1 crop residue; ",2750,750,-0.7273,No,,,11,5,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
Adimassu,Agricultural Systems,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,3,wheat.winter,2009,2009,2009,1,,No,No,continuous,,No,Yes,incorporated,1 t ha-1 yr-1 crop residue,Yes,Yes,Hand weeding,Herbicide,Yes,Yes,Yes,,P2O5 and N,,,,,"The study site is located within the Ethiopian highlands, in the Awash River Basin, 33 km West of Addis Ababa, plot size 9x6m. A field experiment was conducted for 3 consecutive years (2009–2011) at the experimental farm of the Holeta Agricultural Research Centre (HARC) located at 09004′N and 38029′E at an elevation of 2400m above sea level. The study area receives high annual rainfall with a long-term annual average (1969 to 2014) of 1050mm per year. The rainfall has bimodal distribution that occurs in Kiremit (main rain) and Belg (minor rain) seasons. In general,>75% of the annual rainfall occurs in the main rain season (June to September) particularly in July and August. The experiment was conducted in clay texture soil with 58% clay content. The bulk density of the soil was 1.12 g cm−3. The water content of the first 30 cm depth of the soil at field capacity (0.33 bar) and permanent wilting point (15 bar) were 32% and 24%, respectively. The plot size used for this experiment was a runoff plot of 9m length and 6m width.  The study area is crop-livestock farming system, where both livestock and crops are important agricultural practices. Cattle are important in the agricultural production system as they provide draught and threshing power, and manure to improve soil fertility and provide cow-dung for fuel. Crop residues are used as fodder and a source of domestic fuel. Wheat (Triticum astivum L.), teff (Eragrostis tef Zucc.), faba bean (Vicia fava L.) and field pea (Pisum sativum L.) are common crops grown in the study area.   The seeding rate of wheat (variety Kubsa) was 175 kg ha−1 for broadcasting. The recommended fertilizer rates applied for all treatments were 69 P2O5 and 60 N per hectare. In zero and minimum tillage treatments, glyphosate herbicide was applied to control weeds. However, hand weeding was used to control weeds in conventional tillage treatments. Treatments /Description T0C0: Zero tillage (land was not disturbed) without crop residue; T0C1: Zero tillage with 1 t ha−1 yr−1 crop residue; T0C2: Zero tillage with 2 t ha−1 yr−1 crop residue; T1C0: Minimum tillage without crop residue; T1C1: Minimum tillage with 1 t ha−1 yr−1 crop residue; T1C2: Minimum tillage with 2 t ha−1 yr−1 crop residue; T2C0 :Control treatment (Conventional tillage without crop residue); T2C1: Conventional tillage with 1 t ha−1 yr−1 crop residue; T2C2: Conventional tillage with 2 t ha−1 yr−1 crop residue; ",3300,860,-0.7394,No,,,11,5,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
Adimassu,Agricultural Systems,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,3,wheat.winter,2009,2009,2009,1,,No,No,continuous,,No,Yes,incorporated,2 t ha-1 yr-1 crop residue,Yes,Yes,Hand weeding,Herbicide,Yes,Yes,Yes,,P2O5 and N,,,,,"The study site is located within the Ethiopian highlands, in the Awash River Basin, 33 km West of Addis Ababa, plot size 9x6m. A field experiment was conducted for 3 consecutive years (2009–2011) at the experimental farm of the Holeta Agricultural Research Centre (HARC) located at 09004′N and 38029′E at an elevation of 2400m above sea level. The study area receives high annual rainfall with a long-term annual average (1969 to 2014) of 1050mm per year. The rainfall has bimodal distribution that occurs in Kiremit (main rain) and Belg (minor rain) seasons. In general,>75% of the annual rainfall occurs in the main rain season (June to September) particularly in July and August. The experiment was conducted in clay texture soil with 58% clay content. The bulk density of the soil was 1.12 g cm−3. The water content of the first 30 cm depth of the soil at field capacity (0.33 bar) and permanent wilting point (15 bar) were 32% and 24%, respectively. The plot size used for this experiment was a runoff plot of 9m length and 6m width.  The study area is crop-livestock farming system, where both livestock and crops are important agricultural practices. Cattle are important in the agricultural production system as they provide draught and threshing power, and manure to improve soil fertility and provide cow-dung for fuel. Crop residues are used as fodder and a source of domestic fuel. Wheat (Triticum astivum L.), teff (Eragrostis tef Zucc.), faba bean (Vicia fava L.) and field pea (Pisum sativum L.) are common crops grown in the study area.   The seeding rate of wheat (variety Kubsa) was 175 kg ha−1 for broadcasting. The recommended fertilizer rates applied for all treatments were 69 P2O5 and 60 N per hectare. In zero and minimum tillage treatments, glyphosate herbicide was applied to control weeds. However, hand weeding was used to control weeds in conventional tillage treatments. Treatments /Description T0C0: Zero tillage (land was not disturbed) without crop residue; T0C1: Zero tillage with 1 t ha−1 yr−1 crop residue; T0C2: Zero tillage with 2 t ha−1 yr−1 crop residue; T1C0: Minimum tillage without crop residue; T1C1: Minimum tillage with 1 t ha−1 yr−1 crop residue; T1C2: Minimum tillage with 2 t ha−1 yr−1 crop residue; T2C0 :Control treatment (Conventional tillage without crop residue); T2C1: Conventional tillage with 1 t ha−1 yr−1 crop residue; T2C2: Conventional tillage with 2 t ha−1 yr−1 crop residue; ",3490,1080,-0.6905,No,,,11,5,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
Adimassu,Agricultural Systems,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,3,wheat.winter,2009,2010,2010,2,,No,No,continuous,,No,No,no crop residue,no crop residue,Yes,Yes,Hand weeding,Herbicide,Yes,Yes,Yes,,P2O5 and N,,,,,"The study site is located within the Ethiopian highlands, in the Awash River Basin, 33 km West of Addis Ababa, plot size 9x6m. A field experiment was conducted for 3 consecutive years (2009–2011) at the experimental farm of the Holeta Agricultural Research Centre (HARC) located at 09004′N and 38029′E at an elevation of 2400m above sea level. The study area receives high annual rainfall with a long-term annual average (1969 to 2014) of 1050mm per year. The rainfall has bimodal distribution that occurs in Kiremit (main rain) and Belg (minor rain) seasons. In general,>75% of the annual rainfall occurs in the main rain season (June to September) particularly in July and August. The experiment was conducted in clay texture soil with 58% clay content. The bulk density of the soil was 1.12 g cm−3. The water content of the first 30 cm depth of the soil at field capacity (0.33 bar) and permanent wilting point (15 bar) were 32% and 24%, respectively. The plot size used for this experiment was a runoff plot of 9m length and 6m width.  The study area is crop-livestock farming system, where both livestock and crops are important agricultural practices. Cattle are important in the agricultural production system as they provide draught and threshing power, and manure to improve soil fertility and provide cow-dung for fuel. Crop residues are used as fodder and a source of domestic fuel. Wheat (Triticum astivum L.), teff (Eragrostis tef Zucc.), faba bean (Vicia fava L.) and field pea (Pisum sativum L.) are common crops grown in the study area.   The seeding rate of wheat (variety Kubsa) was 175 kg ha−1 for broadcasting. The recommended fertilizer rates applied for all treatments were 69 P2O5 and 60 N per hectare. In zero and minimum tillage treatments, glyphosate herbicide was applied to control weeds. However, hand weeding was used to control weeds in conventional tillage treatments. Treatments /Description T0C0: Zero tillage (land was not disturbed) without crop residue; T0C1: Zero tillage with 1 t ha−1 yr−1 crop residue; T0C2: Zero tillage with 2 t ha−1 yr−1 crop residue; T1C0: Minimum tillage without crop residue; T1C1: Minimum tillage with 1 t ha−1 yr−1 crop residue; T1C2: Minimum tillage with 2 t ha−1 yr−1 crop residue; T2C0 :Control treatment (Conventional tillage without crop residue); T2C1: Conventional tillage with 1 t ha−1 yr−1 crop residue; T2C2: Conventional tillage with 2 t ha−1 yr−1 crop residue; ",1290,1200,-0.0698,No,,,11,5,465,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
Adimassu,Agricultural Systems,2019,Ethiopia,"Awash River Basin, Addis Ababa",9.07,38.48,clay,,3,wheat.winter,2009,2010,2010,2,,No,No,continuous,,No,Yes,incorporated,1 t ha-1 yr-1 crop residue,Yes,Yes,Hand weeding,Herbicide,Yes,Yes,Yes,,P2O5 and N,,,,,"The study site is located within the Ethiopian highlands, in the Awash River Basin, 33 km West of Addis Ababa, plot size 9x6m. A field experiment was conducted for 3 consecutive years (2009–2011) at the experimental farm of the Holeta Agricultural Research Centre (HARC) located at 09004′N and 38029′E at an elevation of 2400m above sea level. The study area receives high annual rainfall with a long-term annual average (1969 to 2014) of 1050mm per year. The rainfall has bimodal distribution that occurs in Kiremit (main rain) and Belg (minor rain) seasons. In general,>75% of the annual rainfall occurs in the main rain season (June to September) particularly in July and August. The experiment was conducted in clay texture soil with 58% clay content. The bulk density of the soil was 1.12 g cm−3. The water content of the first 30 cm depth of the soil at field capacity (0.33 bar) and permanent wilting point (15 bar) were 32% and 24%, respectively. The plot size used for this experiment was a runoff plot of 9m length and 6m width.  The study area is crop-livestock farming system, where both livestock and crops are important agricultural practices. Cattle are important in the agricultural production system as they provide draught and threshing power, and manure to improve soil fertility and provide cow-dung for fuel. Crop residues are used as fodder and a source of domestic fuel. Wheat (Triticum astivum L.), teff (Eragrostis tef Zucc.), faba bean (Vicia fava L.) and field pea (Pisum sativum L.) are common crops grown in the study area.   The seeding rate of wheat (variety Kubsa) was 175 kg ha−1 for broadcasting. The recommended fertilizer rates applied for all treatments were 69 P2O5 and 60 N per hectare. In zero and minimum tillage treatments, glyphosate herbicide was applied to control weeds. However, hand weeding was used to control weeds in conventional tillage treatments. Treatments /Description T0C0: Zero tillage (land was not disturbed) without crop residue; T0C1: Zero tillage with 1 t ha−1 yr−1 crop residue; T0C2: Zero tillage with 2 t ha−1 yr−1 crop residue; T1C0: Minimum tillage without crop residue; T1C1: Minimum tillage with 1 t ha−1 yr−1 crop residue; T1C2: Minimum tillage with 2 t ha−1 yr−1 crop residue; T2C0 :Control treatment (Conventional tillage without crop residue); T2C1: Conventional tillage with 1 t ha−1 yr−1 crop residue; T2C2: Conventional tillage with 2 t ha−1 yr−1 crop residue; ",1340,1160,-0.1343,No,,,11,5,465,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
