District,Soil Color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop
Sangli,Clayey,65,45,46,7.420561578487198,594.7622344316593,23.051039425302598,Groundnut
Kolhapur,Red,83,54,33,6.698632736913165,952.1812273148471,26.675278941854707,Maize
Satara,Clayey,85,59,42,7.134178300727375,1918.0295387739186,23.045002962193884,Rice
Solapur,Black,78,35,48,6.18504347643493,861.3220124233907,25.126854426327522,Soybean
Pune,Red,69,51,43,6.801798040252754,645.8932406042268,21.950849841304095,Groundnut
Kolhapur,Clayey,79,57,53,6.722717980554745,912.336123242236,22.306710667011963,Groundnut
Pune,Red,55,54,59,7.006367020569005,649.1067516382354,27.244924694279458,Jowar
Sangli,Black,63,51,37,6.792990888277881,471.34374641101385,18.45830375886065,Wheat
Solapur,Black,79,57,31,6.352352120545625,659.2079731979018,16.429565205025135,Wheat
Kolhapur,Red,53,52,39,6.029648508896468,621.6158102281224,31.013585693882668,Pomegranate
Kolhapur,Red,41,57,54,6.783064658510679,625.5661814749335,28.71875155376312,Pomegranate
Kolhapur,Black,90,47,59,6.824134703609421,418.4793230502109,29.384586721500362,Jowar
Satara,Black,64,56,30,6.51562715439352,594.1231795031429,31.01999082211912,Grapes
Solapur,Black,49,45,47,6.888407005293815,549.5969821707445,29.068906611495798,Maize
Kolhapur,Black,133,78,100,6.802295389269868,981.1319167112092,30.222406310589694,Cotton
Solapur,Black,141,75,115,7.21922400250036,2309.201486600611,32.99969582249516,Sugarcane
Pune,Black,146,70,93,6.743653836694349,2346.013221155812,25.17589926198242,Sugarcane
Satara,Black,59,50,38,6.321793169139418,601.8705899128477,32.90381230651839,Grapes
Sangli,Clayey,109,77,104,6.076943945690801,1820.6110715836292,33.59704823678561,Sugarcane
Satara,Red,68,47,39,6.921282333655492,475.57590428978756,16.724213036234044,Wheat
Kolhapur,Reddish,51,51,59,6.779113504100055,449.10009896437964,29.501819107225202,Pomegranate
Satara,Black,55,37,50,6.785480435603564,834.4913190172392,24.71471693188286,Soybean
Sangli,Black,55,47,47,6.324135843010979,664.9669166598642,26.82434555996882,Jowar
Pune,Black,64,34,60,7.145779081093385,806.0091696558014,24.27963333601746,Soybean
Kolhapur,Black,125,69,102,6.586497771697569,1884.0845837461923,25.173190578330107,Sugarcane
Kolhapur,Black,123,72,118,6.880748715298754,2470.3523487842745,28.913002472091936,Sugarcane
Satara,Red,91,53,34,7.3232589500973395,468.9284763729637,16.129356096389092,Wheat
Kolhapur,Red,77,34,42,6.224208327221366,624.1609283429615,23.36138526641634,Tur
Pune,Black,140,88,100,6.40498987659551,838.4230701928739,27.936777406499793,Cotton
Solapur,Black,77,53,54,6.440504031011225,855.8537556271816,28.54284306902288,Soybean
Solapur,Black,85,60,41,6.496097056380547,569.8474168076268,17.713269263021168,Wheat
Solapur,Red,90,49,43,7.062745724585199,639.2022500199719,33.69067618154213,Pomegranate
Kolhapur,Red,57,39,54,7.435463268534096,508.2584174753186,21.776255857637036,Groundnut
Sangli,Black,49,45,59,6.095631283997894,825.2662485498545,28.598227700370096,Grapes
Satara,Black,88,53,46,6.038228407774478,756.7781879099966,22.560626100406765,Soybean
Solapur,Black,63,53,40,6.915657331180515,756.5201327892078,28.601292629521907,Soybean
Sangli,Black,51,59,36,6.969089033834818,722.6000477784917,29.58342788147141,Soybean
Solapur,Red,49,41,49,7.494988475228659,453.56654659473736,37.62422039097284,Pomegranate
Kolhapur,Black,47,35,34,6.78417901186223,628.6547224069469,29.27149424376438,Soybean
Sangli,Red,52,42,46,6.3413773111454,601.5748874951007,26.946548785414212,Groundnut
Solapur,Black,75,51,34,6.971836878141619,622.4575577407153,25.484319798048176,Tur
Kolhapur,Black,120,84,105,7.323136185290958,718.4316293917113,31.44187878174296,Cotton
Satara,Clayey,61,46,54,7.408928277935174,635.5044584177426,29.422657096843444,Tur
Kolhapur,Red,85,52,47,6.509433436951254,680.9084460772992,15.560507242765478,Wheat
Pune,Clayey,116,83,109,6.8637750549227725,1680.9903502575544,32.47258895154322,Sugarcane
Kolhapur,Black,147,62,102,6.551042397409557,896.1627837335864,25.366630430356455,Cotton
Solapur,Red,85,51,36,6.567439438278957,695.8338669867843,20.36965169878432,Wheat
Kolhapur,Red,65,48,56,6.80270461237127,905.3203034847022,28.49313227881037,Tur
Satara,Reddish,49,32,39,6.955427303982366,486.15435292627876,25.908217384277137,Pomegranate
Kolhapur,Clayey,110,65,80,7.146397534488585,2331.485568699287,27.769415373190117,Sugarcane
Satara,Black,60,34,33,6.876136792057077,525.7598106267867,22.858377104415705,Maize
Solapur,Clayey,74,37,54,7.411501045075695,869.1006757280454,22.1048913691912,Groundnut
Pune,Black,85,40,53,6.481017585274088,415.3098905495097,34.5027683019507,Jowar
Kolhapur,Clayey,94,55,32,7.069507095547001,2527.0860840772266,29.486467679576016,Rice
Sangli,Black,73,35,43,6.493943277815702,973.2698884367927,25.452207691764634,Maize
Pune,Red,79,57,44,6.913016816247828,595.259099147281,27.888281348836745,Pomegranate
Satara,Red,73,32,55,6.563968403680624,508.15682380957884,23.585505432858227,Tur
Satara,Clayey,138,77,119,7.1232905280944685,2484.9028172142457,26.69199982844075,Sugarcane
Sangli,Black,103,76,97,6.688123128330389,704.8451152552948,26.83977729952766,Cotton
Sangli,Clayey,60,60,48,7.445668458134691,2579.7291759095706,25.694779760208462,Rice
Kolhapur,Black,103,70,80,7.137038382049825,1772.9502357017718,25.16600271280696,Sugarcane
Pune,Black,102,68,97,6.445091677773822,885.0923136324379,32.89342869426021,Cotton
Sangli,Reddish,44,30,34,6.911669642402373,665.2895967072805,25.735393151629886,Pomegranate
Solapur,Clayey,95,46,39,7.023343151909436,2015.412543117382,20.85821811346928,Rice
Pune,Black,87,36,33,6.317371512924701,863.2628031423859,25.383309842113434,Maize
Solapur,Red,74,47,45,6.867771740267811,722.5728548488505,25.056045787976366,Maize
Pune,Black,67,51,32,6.983136534591956,522.6364442843222,34.96952449309689,Jowar
Pune,Red,47,53,49,6.841647406197449,803.3478660383194,29.274687441456216,Tur
Kolhapur,Clayey,87,46,50,6.208284700539968,2923.8543779112047,29.540203030103314,Rice
Solapur,Black,61,59,32,6.859440229443173,850.9865019625582,23.25429627348531,Soybean
Satara,Clayey,58,41,46,7.110964458328217,642.274016439383,25.872084724839322,Groundnut
Satara,Red,71,39,57,6.026207628137185,513.3249330765707,31.45309054317104,Jowar
Solapur,Black,40,45,38,7.1236392021264665,793.1507150075145,24.691401897501322,Tur
Pune,Black,54,47,45,7.130111220293922,739.8286250681631,24.586003181024925,Soybean
Solapur,Reddish,90,34,52,6.330562893121282,400.2189208505187,34.7835599428857,Pomegranate
