District,Soil Color,Crop Type,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer
Kolhapur,Clayey,Sugarcane,21,51,50,7.0862587125765195,502.8582468118519,26.46024781102183,Urea
Satara,Red,Pomegranate,49,52,28,6.305528467635288,863.7915142447782,25.343933956919432,MOP
Satara,Black,Tur,83,54,58,6.901905151335837,863.3397171806421,23.04491670560836,10:26:26 NPK
Sangli,Clayey,Soybean,30,41,48,5.602896279026951,1458.287868386946,26.93083963270644,DAP
Kolhapur,Black,Wheat,42,26,49,6.598496125917331,915.0626136534445,20.028509619428803,DAP
Sangli,Clayey,Soybean,59,32,54,7.3042877756034565,840.8875015981672,26.073300379641402,DAP
Kolhapur,Black,Cotton,46,67,39,5.778647808482383,484.6928028521214,24.052474015582373,20:20:0:13
Solapur,Clayey,Maize,73,43,49,6.910652996230628,1332.2009635428071,28.584623348430743,Urea
Pune,Red,Moong,55,27,49,6.803711353163027,1044.3601485611462,28.420027604237262,DAP
Pune,Red,Sugarcane,43,67,70,6.507285138822441,1134.0272377607448,22.90736361344549,10:26:26 NPK
Solapur,Black,Cotton,20,46,58,5.7668985125606795,1121.119837915578,24.172242132751975,Urea
Kolhapur,Red,Moong,58,37,52,6.812132472559493,1388.8373093426721,34.21881355677071,DAP
Sangli,Red,Pomegranate,45,57,59,6.771677170921183,717.7233721450875,33.141475729196785,19:19:19 NPK
Satara,Black,Soybean,50,80,34,6.87923039668785,865.4600415577827,29.264738263960158,Ammonium Sulphate
Solapur,Red,Sugarcane,42,68,48,6.725267502177708,729.8786423162744,25.618561633704935,10:26:26 NPK
Kolhapur,Clayey,Soybean,55,50,59,6.791547968060264,1271.1390175100971,31.979235625960378,DAP
Satara,Black,Sugarcane,53,57,44,7.047058969943249,609.4150551840519,21.760801144889218,Urea
Pune,Red,Wheat,71,67,46,7.362804462884712,642.4350547803064,24.948090807636554,Ammonium Sulphate
Satara,Clayey,Soybean,34,23,47,7.262148420391918,1274.9313884804492,26.691466514441487,DAP
Pune,Clayey,Soybean,38,43,42,6.149261680164562,1144.2464278620232,30.87738121381797,DAP
Satara,Red,Moong,53,41,53,7.208261023412889,401.415469578674,21.82433618503254,DAP
Satara,Red,Maize,71,52,54,7.387941759491355,645.8279286512736,20.464927016203738,Urea
Satara,Clayey,Grapes,44,57,76,5.930208222391642,990.6285793565551,21.2611006645349,19:19:19 NPK
Solapur,Red,Pomegranate,79,49,73,6.442919245451065,1166.5351683377478,29.41034757540791,19:19:19 NPK
Solapur,Black,Pomegranate,42,44,48,6.938471581669132,1244.5503371941072,32.71794961902516,MOP
Satara,Black,Cotton,84,31,30,5.934932580023708,982.4964415768547,24.406662851786496,20:20:0:13
Solapur,Clayey,Maize,90,42,42,5.823673833237604,989.5316691779832,31.502598110839134,Urea
Solapur,Black,Tur,54,65,52,5.70163007829868,924.5220418211882,31.93535259318245,10:26:26 NPK
Pune,Red,Sugarcane,52,39,60,6.801322109325137,1162.6566824837068,31.36894016597929,10:26:26 NPK
Pune,Red,Pomegranate,56,44,45,6.801923011957333,939.5789875918919,32.58277761145696,MOP
Solapur,Red,Pomegranate,83,70,52,6.597054341153119,1045.3257865441478,21.174860700543245,19:19:19 NPK
Pune,Red,Maize,27,42,50,6.195152040260521,1238.5697004015565,28.62395314225348,Urea
Pune,Black,Sugarcane,21,47,45,6.079652201393452,1424.9594392727265,30.1685557340888,Urea
Solapur,Red,Wheat,83,60,62,7.0206772316535995,576.0433127830516,32.05441354067451,Ammonium Sulphate
Pune,Red,Sugarcane,68,68,78,5.882225927575052,475.07443588521016,20.8313317453311,10:26:26 NPK
Sangli,Red,Moong,44,33,57,6.911096148522231,742.6456888692157,32.64530555386085,DAP
Kolhapur,Red,Pomegranate,96,66,39,5.541906637165723,1373.946292548022,20.17430806662545,19:19:19 NPK
Kolhapur,Red,Wheat,78,33,64,6.432235398141936,1429.4554544677953,30.32555319134306,Ammonium Sulphate
Satara,Clayey,Sugarcane,89,51,47,5.860380657691157,1024.8861944614373,25.09507944335717,Urea
Pune,Black,Cotton,75,61,79,6.288415630962889,915.6086541826871,31.713831072968677,20:20:0:13
Kolhapur,Red,Pomegranate,40,32,61,7.436711538478184,1478.2842007455283,32.54201720081929,19:19:19 NPK
Solapur,Red,Moong,41,24,44,6.892361559378277,652.83516518293,22.921197296372906,DAP
Sangli,Black,Tur,77,78,78,6.307545880731794,676.3102334122045,34.09663792905022,10:26:26 NPK
Solapur,Black,Tur,98,54,34,7.063404975271219,606.8541520780144,27.617627040557938,10:26:26 NPK
Pune,Clayey,Sugarcane,55,41,41,6.157686470256219,484.4260383585989,31.034407499803947,Urea
Satara,Black,Pomegranate,47,54,39,7.333340741971535,1321.1145104827021,21.15550716507873,MOP
Sangli,Black,Pomegranate,42,55,46,7.357895863028396,985.7812313869329,20.74608439151614,MOP
Sangli,Red,Wheat,61,77,67,6.151752914911039,1154.464896778293,29.728020392817967,Ammonium Sulphate
Satara,Clayey,Soybean,34,45,45,6.434878424473365,920.3241036247057,29.271619471835674,DAP
Kolhapur,Red,Moong,39,46,52,6.044715402150118,1163.3485203948526,31.56128763642043,DAP
Sangli,Clayey,Grapes,92,40,46,5.890683171148904,1080.6169064439205,29.25693549549333,19:19:19 NPK
Solapur,Black,Cotton,46,60,59,6.499456173204874,907.0257079621242,25.27279024545562,Urea
Sangli,Red,Sugarcane,74,56,65,6.9353475323610905,1273.8803705680607,34.21213148732794,10:26:26 NPK
Satara,Clayey,Maize,81,40,52,6.243142520381369,1438.1468945952709,26.176040524090585,Urea
Solapur,Red,Sugarcane,70,50,34,7.177734126656494,806.112152559572,25.44349457010194,10:26:26 NPK
Kolhapur,Clayey,Soybean,41,28,52,6.0351416847509105,638.2321273413304,21.060755809858374,DAP
Sangli,Clayey,Soybean,46,39,40,6.135054733948655,915.2581945352294,25.446884340091547,DAP
Pune,Clayey,Soybean,32,31,54,6.528855435891764,1363.3031205498137,22.621128103239542,DAP
Sangli,Clayey,Grapes,48,40,23,6.697978847149493,807.8685312853322,28.325447133650435,MOP
Solapur,Red,Sugarcane,34,40,51,6.768401901338129,1377.0819260169287,27.935952991261736,Urea
Kolhapur,Black,Soybean,65,46,79,5.597200410573862,897.1224595735325,25.086694791963225,Ammonium Sulphate
Satara,Red,Sugarcane,100,37,52,6.716782742012032,567.1826993916958,31.25732594576716,10:26:26 NPK
Solapur,Red,Wheat,78,46,37,6.340779829500653,1377.6616295050985,34.797671391181794,Ammonium Sulphate
Pune,Black,Maize,43,50,53,5.78335202532878,844.3287187484906,28.976634031632408,Urea
Pune,Clayey,Soybean,57,30,41,6.597983338381923,573.3067657402054,24.746542700936054,DAP
Satara,Black,Cotton,78,53,55,5.960521145662523,1155.1140013860813,33.38983847714741,Urea
Solapur,Black,Pomegranate,41,46,21,6.007969794952496,857.5319007822168,33.204602098980374,MOP
Satara,Black,Tur,83,56,73,6.6285622968441125,576.4894120746801,33.11791730842501,10:26:26 NPK
Satara,Red,Moong,58,46,59,7.418646314571956,481.14486658591187,29.009948666173063,DAP
Sangli,Clayey,Maize,78,47,45,6.45811889757515,853.1751089473586,28.487361699123028,Urea
Kolhapur,Red,Wheat,99,48,44,6.039444838677637,1325.4674063980422,25.772846398739482,Ammonium Sulphate
Kolhapur,Black,Grapes,55,49,37,6.47665969258857,889.6228606933466,31.06922837973382,MOP
Satara,Black,Cotton,72,59,46,7.247135812544501,588.5147104614823,24.663271301240364,Urea
Satara,Red,Sugarcane,42,66,34,5.510912705489149,1081.455162129744,25.12633530670985,10:26:26 NPK
Satara,Red,Grapes,58,53,40,7.4752825911009175,1065.5058431714092,20.066813645843585,MOP
Solapur,Black,Cotton,92,79,64,5.873075161324438,998.6573371678055,26.420951869005236,20:20:0:13
Satara,Black,Cotton,59,62,73,6.908979707586158,823.5249352080921,29.184810009463355,20:20:0:13
Satara,Red,Moong,40,34,50,6.358899877854608,682.3632268661986,34.669078887120534,DAP
Pune,Red,Moong,48,39,41,7.417252152681603,545.4476297453305,27.12446572802205,DAP
Satara,Clayey,Grapes,47,42,50,6.694639258401178,706.3876576361945,25.05070991825864,MOP
