date,max_temp_c,min_temp_c,humidity_percent,wind_speed_kmh,rainfall_mm,irrigation_needed
2024-01-01,29.9,17.5,53.21,6.9,0.0,0
2024-01-02,30.3,17.5,54.46,7.75,0.0,0
2024-01-03,30.8,19.1,54.5,8.28,0.0,0
2024-01-04,30.4,19.0,60.21,6.68,0.0,0
2024-01-05,30.9,19.4,62.12,5.65,0.0,0
2024-01-06,30.0,20.3,57.88,7.68,0.0,0
2024-01-07,30.9,20.8,47.25,13.29,0.022458082,0
2024-01-08,30.7,20.5,52.83,12.87,0.0,0
2024-01-09,29.0,20.5,70.83,12.13,0.0,0
2024-01-10,29.9,19.6,61.08,10.71,0.0,0
2024-01-11,30.7,20.2,56.42,8.58,0.0,0
2024-01-12,31.3,19.5,49.08,10.12,0.0,0
2024-01-13,31.0,17.5,53.96,7.28,0.0,0
2024-01-14,31.1,17.4,53.38,7.04,0.0,0
2024-01-15,29.9,17.6,48.33,6.6,0.0,0
2024-01-16,30.0,14.5,53.0,6.31,0.0,0
2024-01-17,30.7,15.6,63.54,7.89,0.0,0
2024-01-18,29.0,14.7,65.75,6.69,0.0,0
2024-01-19,30.2,15.0,61.17,6.86,0.0,0
2024-01-20,30.1,16.3,59.33,7.24,0.0,0
2024-01-21,30.3,15.9,59.88,6.05,0.0,0
2024-01-22,31.4,16.4,57.62,7.75,0.0,0
2024-01-23,30.0,13.7,62.29,6.08,0.0,0
2024-01-24,29.4,14.8,54.88,7.0,0.0,0
2024-01-25,29.9,15.3,52.12,7.6,0.0,0
2024-01-26,30.9,17.7,49.04,7.63,0.0,0
2024-01-27,31.0,18.4,47.67,6.62,0.0,0
2024-01-28,30.5,18.3,53.42,6.73,0.0,0
2024-01-29,30.8,17.0,51.38,6.23,0.0,0
2024-01-30,30.9,17.4,47.25,5.61,0.0,0
2024-01-31,31.1,16.9,50.38,7.88,0.0,0
2024-02-01,30.6,15.3,52.62,8.17,0.0,0
2024-02-02,30.5,14.4,53.92,5.75,0.0,0
2024-02-03,32.5,17.6,47.75,8.52,0.0,1
2024-02-04,33.1,20.1,48.62,6.14,0.0,1
2024-02-05,33.9,20.0,46.79,5.75,0.0,1
2024-02-06,34.4,21.1,38.75,6.35,0.0,1
2024-02-07,34.9,20.7,36.75,5.51,0.0,1
2024-02-08,34.5,20.2,35.25,9.15,0.0,1
2024-02-09,35.4,17.9,33.67,6.39,0.0,1
2024-02-10,34.5,18.2,29.83,6.79,0.0,1
